Zipcode,Beds,Baths,Size,Price
20001,1.0,1.0,521.0,325000.0
20001,4.0,2.5,1606.0,674900.0
20001,1.0,1.0,735.0,399900.0
20001,4.0,4.5,2370.0,1424640.0
20001,4.0,2.5,2370.0,1169900.0
20001,4.0,3.0,2228.0,969997.0
20001,2.0,1.0,940.0,625000.0
20001,1.0,1.0,624.0,485000.0
20001,3.0,3.5,5077.0,3250000.0
20001,1.0,1.0,723.0,524900.0
20001,7.0,7.0,3669.0,1400000.0
20001,4.0,4.5,2410.0,1424640.0
20001,3.0,3.5,1690.0,929900.0
20001,5.0,4.5,2370.0,1169900.0
20001,2.0,2.0,965.0,649000.0
20001,4.0,3.0,2064.0,1169000.0
20001,9.0,5.0,4050.0,1250000.0
20001,2.0,2.5,1781.0,1799900.0
20001,4.0,4.5,1932.0,1099000.0
20001,1.0,1.0,435.0,359888.0
20001,2.0,2.0,933.0,645000.0
20001,3.0,1.5,1428.0,798999.0
20001,1.0,1.0,818.0,489900.0
20001,3.0,2.5,1610.0,949000.0
20001,1.0,1.0,621.0,420000.0
20001,2.0,2.0,1134.0,695000.0
20001,1.0,1.0,692.0,479000.0
20001,2.0,2.0,868.0,629000.0
20001,4.0,4.5,2473.0,974900.0
20001,2.0,2.5,1159.0,550000.0
20001,1.0,1.0,486.0,305000.0
20001,1.0,1.0,575.0,369000.0
20001,2.0,2.0,980.0,995000.0
20001,2.0,2.0,1109.0,645000.0
20001,3.0,1.5,1312.0,675000.0
20001,2.0,2.0,1340.0,1435000.0
20001,1.0,1.0,692.0,469900.0
20001,2.0,2.0,1115.0,665000.0
20001,3.0,2.0,1200.0,425998.0
20001,2.0,1.5,887.0,449900.0
20001,2.0,2.0,863.0,649900.0
20001,3.0,1.0,1906.0,849999.0
20001,3.0,2.0,2350.0,1500000.0
20001,5.0,3.0,2881.0,1600000.0
10001,2.0,2.5,1120.0,2850000.0
10001,4.0,3.5,3102.0,9600000.0
10001,3.0,2.0,2059.0,2500000.0
10001,2.0,2.5,2320.0,5800000.0
10001,1.0,1.0,1043.0,2550000.0
10001,2.0,1.0,1050.0,1095000.0
10001,1.0,1.5,1075.0,1550000.0
10001,3.0,2.5,86280.0,3800000.0
10001,4.0,4.5,3039.0,8495000.0
